Month,Avg. Surface Temperature,Avg. Uncertainty,Country
January,-2.941,2.230,Åland
February,-3.630,2.006,Åland
March,-2.071,1.759,Åland
April,1.772,1.692,Åland
May,6.865,1.554,Åland
June,12.214,1.608,Åland
July,15.862,1.605,Åland
August,15.448,1.556,Åland
September,11.558,1.439,Åland
October,6.698,1.587,Åland
November,2.640,1.719,Åland
December,-0.792,1.953,Åland
January,0.470,1.048,Afghanistan
February,2.917,0.981,Afghanistan
March,8.416,0.925,Afghanistan
April,14.500,0.903,Afghanistan
May,20.288,0.881,Afghanistan
June,24.933,0.924,Afghanistan
July,26.933,0.926,Afghanistan
August,25.220,0.906,Afghanistan
September,20.319,0.893,Afghanistan
October,13.865,0.849,Afghanistan
November,7.719,0.936,Afghanistan
December,2.546,0.991,Afghanistan
January,20.943,0.460,Africa
February,22.238,0.441,Africa
March,23.901,0.408,Africa
April,25.005,0.395,Africa
May,25.646,0.378,Africa
June,25.516,0.387,Africa
July,25.211,0.374,Africa
August,25.365,0.364,Africa
September,25.678,0.354,Africa
October,24.970,0.364,Africa
November,23.182,0.400,Africa
December,21.196,0.420,Africa
January,2.861,1.938,Albania
February,4.284,1.790,Albania
March,7.355,1.495,Albania
April,11.295,1.506,Albania
May,16.038,1.378,Albania
June,19.979,1.364,Albania
July,22.440,1.404,Albania
August,22.134,1.369,Albania
September,18.410,1.319,Albania
October,13.508,1.429,Albania
November,8.636,1.553,Albania
December,4.483,1.746,Albania
January,11.821,1.304,Algeria
February,14.429,1.251,Algeria
March,18.377,1.181,Algeria
April,22.498,1.149,Algeria
May,27.148,1.127,Algeria
June,31.475,1.147,Algeria
July,33.663,1.157,Algeria
August,32.918,1.112,Algeria
September,29.470,1.094,Algeria
October,23.772,1.141,Algeria
November,17.542,1.198,Algeria
December,12.611,1.254,Algeria
January,26.789,0.562,American Samoa
February,26.934,0.549,American Samoa
March,27.067,0.533,American Samoa
April,26.951,0.530,American Samoa
May,26.881,0.516,American Samoa
June,26.545,0.553,American Samoa
July,26.211,0.565,American Samoa
August,26.188,0.524,American Samoa
September,26.259,0.535,American Samoa
October,26.279,0.529,American Samoa
November,26.563,0.530,American Samoa
December,26.680,0.569,American Samoa
January,3.424,1.965,Andorra
February,4.910,1.782,Andorra
March,7.143,1.539,Andorra
April,9.543,1.509,Andorra
May,13.338,1.381,Andorra
June,17.254,1.379,Andorra
July,19.955,1.403,Andorra
August,19.630,1.383,Andorra
September,16.381,1.322,Andorra
October,11.626,1.407,Andorra
November,7.202,1.572,Andorra
December,4.090,1.679,Andorra
January,22.572,0.704,Angola
February,22.836,0.667,Angola
March,22.966,0.655,Angola
April,22.432,0.638,Angola
May,20.997,0.710,Angola
June,18.882,0.708,Angola
July,18.648,0.646,Angola
August,20.514,0.637,Angola
September,22.747,0.619,Angola
October,23.503,0.599,Angola
November,23.193,0.621,Angola
December,22.591,0.669,Angola
January,24.850,0.707,Anguilla
February,24.862,0.653,Anguilla
March,25.264,0.602,Anguilla
April,25.810,0.615,Anguilla
May,26.879,0.597,Anguilla
June,27.701,0.563,Anguilla
July,28.056,0.563,Anguilla
August,28.170,0.536,Anguilla
September,27.982,0.537,Anguilla
October,27.508,0.530,Anguilla
November,26.774,0.600,Anguilla
December,25.501,0.691,Anguilla
January,nan,nan,Antarctica
February,nan,nan,Antarctica
March,nan,nan,Antarctica
April,nan,nan,Antarctica
May,nan,nan,Antarctica
June,nan,nan,Antarctica
July,nan,nan,Antarctica
August,nan,nan,Antarctica
September,nan,nan,Antarctica
October,nan,nan,Antarctica
November,nan,nan,Antarctica
December,nan,nan,Antarctica
January,24.762,0.695,Antigua And Barbuda
February,24.767,0.642,Antigua And Barbuda
March,25.191,0.584,Antigua And Barbuda
April,25.799,0.607,Antigua And Barbuda
May,26.847,0.591,Antigua And Barbuda
June,27.541,0.548,Antigua And Barbuda
July,27.816,0.554,Antigua And Barbuda
August,27.902,0.528,Antigua And Barbuda
September,27.649,0.531,Antigua And Barbuda
October,27.132,0.512,Antigua And Barbuda
November,26.497,0.578,Antigua And Barbuda
December,25.376,0.676,Antigua And Barbuda
January,21.247,0.585,Argentina
February,20.399,0.554,Argentina
March,18.195,0.527,Argentina
April,14.280,0.515,Argentina
May,10.836,0.502,Argentina
June,7.997,0.572,Argentina
July,7.746,0.511,Argentina
August,9.467,0.506,Argentina
September,12.134,0.487,Argentina
October,15.045,0.481,Argentina
November,18.081,0.524,Argentina
December,20.171,0.564,Argentina
January,-4.897,1.526,Armenia
February,-2.998,1.446,Armenia
March,2.079,1.241,Armenia
April,7.907,1.115,Armenia
May,13.246,1.043,Armenia
June,17.562,1.083,Armenia
July,21.048,1.085,Armenia
August,20.944,1.062,Armenia
September,16.250,1.002,Armenia
October,9.944,1.078,Armenia
November,3.651,1.195,Armenia
December,-2.150,1.397,Armenia
January,26.285,0.718,Aruba
February,26.100,0.696,Aruba
March,26.391,0.645,Aruba
April,27.144,0.654,Aruba
May,28.423,0.655,Aruba
June,29.108,0.619,Aruba
July,29.432,0.627,Aruba
August,29.538,0.595,Aruba
September,29.322,0.586,Aruba
October,28.548,0.567,Aruba
November,27.893,0.631,Aruba
December,26.889,0.751,Aruba
January,-7.502,0.692,Asia
February,-5.063,0.649,Asia
March,0.839,0.589,Asia
April,8.021,0.590,Asia
May,14.421,0.519,Asia
June,19.121,0.540,Asia
July,21.184,0.514,Asia
August,19.641,0.511,Asia
September,14.928,0.495,Asia
October,7.991,0.533,Asia
November,0.086,0.603,Asia
December,-5.797,0.653,Asia
January,27.820,0.541,Australia
February,27.269,0.528,Australia
March,25.449,0.476,Australia
April,21.847,0.457,Australia
May,17.933,0.457,Australia
June,14.927,0.458,Australia
July,14.165,0.455,Australia
August,16.051,0.456,Australia
September,19.279,0.442,Australia
October,22.531,0.458,Australia
November,25.391,0.493,Australia
December,27.012,0.531,Australia
January,-4.402,2.077,Austria
February,-2.460,1.912,Austria
March,1.325,1.588,Austria
April,6.075,1.541,Austria
May,11.175,1.388,Austria
June,14.447,1.384,Austria
July,16.127,1.413,Austria
August,15.489,1.384,Austria
September,11.912,1.326,Austria
October,6.650,1.450,Austria
November,1.206,1.612,Austria
December,-2.931,1.793,Austria
January,-0.713,1.292,Azerbaijan
February,0.462,1.211,Azerbaijan
March,4.326,1.104,Azerbaijan
April,9.697,1.067,Azerbaijan
May,15.565,0.992,Azerbaijan
June,20.163,1.026,Azerbaijan
July,23.242,0.999,Azerbaijan
August,22.805,0.978,Azerbaijan
September,18.161,0.928,Azerbaijan
October,12.180,1.011,Azerbaijan
November,6.519,1.108,Azerbaijan
December,1.596,1.245,Azerbaijan
January,21.905,1.142,Bahamas
February,22.145,1.067,Bahamas
March,22.984,0.911,Bahamas
April,24.125,0.944,Bahamas
May,25.809,0.868,Bahamas
June,27.405,0.886,Bahamas
July,28.287,0.896,Bahamas
August,28.306,0.828,Bahamas
September,27.620,0.803,Bahamas
October,26.058,0.849,Bahamas
November,24.286,0.981,Bahamas
December,22.529,1.136,Bahamas
January,15.586,0.955,Bahrain
February,16.811,0.919,Bahrain
March,20.437,0.893,Bahrain
April,25.044,0.915,Bahrain
May,30.302,0.915,Bahrain
June,33.484,0.983,Bahrain
July,34.828,0.951,Bahrain
August,34.396,0.937,Bahrain
September,32.005,0.882,Bahrain
October,27.983,0.876,Bahrain
November,22.769,0.917,Bahrain
December,17.606,0.985,Bahrain
January,25.177,0.633,Baker Island
February,25.425,0.585,Baker Island
March,25.762,0.563,Baker Island
April,25.798,0.560,Baker Island
May,25.694,0.533,Baker Island
June,25.303,0.549,Baker Island
July,25.208,0.537,Baker Island
August,25.388,0.545,Baker Island
September,25.313,0.504,Baker Island
October,25.117,0.510,Baker Island
November,25.199,0.547,Baker Island
December,25.077,0.593,Baker Island
January,17.787,0.954,Bangladesh
February,20.296,0.926,Bangladesh
March,24.748,0.880,Bangladesh
April,27.359,0.849,Bangladesh
May,28.076,0.754,Bangladesh
June,28.144,0.780,Bangladesh
July,28.047,0.729,Bangladesh
August,28.009,0.707,Bangladesh
September,27.710,0.692,Bangladesh
October,26.130,0.777,Bangladesh
November,22.762,0.874,Bangladesh
December,18.772,0.883,Bangladesh
January,25.194,0.699,Barbados
February,25.141,0.648,Barbados
March,25.557,0.588,Barbados
April,26.152,0.585,Barbados
May,27.072,0.581,Barbados
June,27.245,0.510,Barbados
July,27.277,0.520,Barbados
August,27.372,0.515,Barbados
September,27.283,0.527,Barbados
October,26.907,0.504,Barbados
November,26.588,0.559,Barbados
December,25.734,0.658,Barbados
January,-6.787,1.930,Belarus
February,-5.810,1.798,Belarus
March,-1.426,1.605,Belarus
April,5.967,1.537,Belarus
May,12.668,1.424,Belarus
June,16.421,1.418,Belarus
July,18.131,1.479,Belarus
August,16.926,1.450,Belarus
September,11.992,1.411,Belarus
October,5.851,1.499,Belarus
November,0.366,1.587,Belarus
December,-4.362,1.783,Belarus
January,1.192,2.077,Belgium
February,2.576,1.897,Belgium
March,5.243,1.621,Belgium
April,8.778,1.580,Belgium
May,13.043,1.447,Belgium
June,16.052,1.431,Belgium
July,17.738,1.462,Belgium
August,17.364,1.467,Belgium
September,14.466,1.366,Belgium
October,9.830,1.498,Belgium
November,5.310,1.676,Belgium
December,2.283,1.808,Belgium
January,22.422,0.946,Belize
February,23.341,0.932,Belize
March,24.769,0.887,Belize
April,26.137,0.869,Belize
May,27.092,0.767,Belize
June,26.853,0.801,Belize
July,26.428,0.788,Belize
August,26.441,0.752,Belize
September,26.226,0.740,Belize
October,24.946,0.777,Belize
November,23.521,0.817,Belize
December,22.423,0.966,Belize
January,26.244,0.644,Benin
February,28.408,0.617,Benin
March,30.016,0.619,Benin
April,29.726,0.594,Benin
May,28.531,0.560,Benin
June,26.896,0.560,Benin
July,25.669,0.529,Benin
August,25.028,0.537,Benin
September,25.598,0.510,Benin
October,26.593,0.546,Benin
November,27.076,0.576,Benin
December,26.189,0.639,Benin
January,3.663,0.947,Bhutan
February,5.638,0.935,Bhutan
March,9.444,0.852,Bhutan
April,12.452,0.873,Bhutan
May,15.085,0.789,Bhutan
June,17.382,0.795,Bhutan
July,18.056,0.738,Bhutan
August,17.631,0.708,Bhutan
September,16.181,0.701,Bhutan
October,12.904,0.796,Bhutan
November,8.457,0.880,Bhutan
December,4.528,0.886,Bhutan
January,22.285,0.719,Bolivia
February,22.154,0.711,Bolivia
March,22.010,0.683,Bolivia
April,20.860,0.699,Bolivia
May,19.271,0.719,Bolivia
June,17.877,0.787,Bolivia
July,17.924,0.764,Bolivia
August,19.511,0.770,Bolivia
September,21.272,0.751,Bolivia
October,22.251,0.710,Bolivia
November,22.709,0.705,Bolivia
December,22.458,0.730,Bolivia
January,25.483,0.681,"""Bonaire"
February,25.475,0.662,"""Bonaire"
March,25.887,0.607,"""Bonaire"
April,26.598,0.631,"""Bonaire"
May,27.723,0.622,"""Bonaire"
June,28.154,0.577,"""Bonaire"
July,28.330,0.577,"""Bonaire"
August,28.511,0.559,"""Bonaire"
September,28.532,0.553,"""Bonaire"
October,28.001,0.536,"""Bonaire"
November,27.305,0.582,"""Bonaire"
December,26.109,0.696,"""Bonaire"
January,-0.269,2.045,Bosnia And Herzegovina
February,1.505,1.903,Bosnia And Herzegovina
March,5.381,1.563,Bosnia And Herzegovina
April,9.938,1.540,Bosnia And Herzegovina
May,14.842,1.411,Bosnia And Herzegovina
June,18.407,1.398,Bosnia And Herzegovina
July,20.573,1.427,Bosnia And Herzegovina
August,20.071,1.408,Bosnia And Herzegovina
September,16.201,1.350,Bosnia And Herzegovina
October,11.096,1.450,Bosnia And Herzegovina
November,5.912,1.625,Bosnia And Herzegovina
December,1.489,1.816,Bosnia And Herzegovina
January,26.039,0.787,Botswana
February,25.519,0.746,Botswana
March,24.321,0.729,Botswana
April,21.691,0.745,Botswana
May,18.237,0.760,Botswana
June,15.149,0.765,Botswana
July,14.979,0.772,Botswana
August,17.833,0.761,Botswana
September,22.018,0.761,Botswana
October,24.964,0.736,Botswana
November,25.930,0.719,Botswana
December,25.992,0.789,Botswana
January,25.264,0.623,Brazil
February,25.259,0.588,Brazil
March,25.143,0.560,Brazil
April,24.615,0.568,Brazil
May,23.971,0.539,Brazil
June,23.326,0.586,Brazil
July,23.333,0.586,Brazil
August,24.264,0.554,Brazil
September,25.114,0.548,Brazil
October,25.395,0.547,Brazil
November,25.452,0.556,Brazil
December,25.272,0.619,Brazil
January,24.588,0.683,British Virgin Islands
February,24.562,0.636,British Virgin Islands
March,24.918,0.579,British Virgin Islands
April,25.490,0.592,British Virgin Islands
May,26.609,0.575,British Virgin Islands
June,27.484,0.546,British Virgin Islands
July,27.877,0.547,British Virgin Islands
August,27.961,0.521,British Virgin Islands
September,27.707,0.520,British Virgin Islands
October,27.180,0.512,British Virgin Islands
November,26.455,0.591,British Virgin Islands
December,25.231,0.685,British Virgin Islands
January,-0.762,1.933,Bulgaria
February,0.741,1.802,Bulgaria
March,4.561,1.575,Bulgaria
April,9.709,1.538,Bulgaria
May,15.076,1.414,Bulgaria
June,18.975,1.412,Bulgaria
July,21.217,1.434,Bulgaria
August,20.830,1.392,Bulgaria
September,16.773,1.374,Bulgaria
October,11.420,1.464,Bulgaria
November,6.049,1.591,Bulgaria
December,1.311,1.799,Bulgaria
January,24.717,0.762,Burkina Faso
February,27.427,0.737,Burkina Faso
March,30.449,0.698,Burkina Faso
April,31.696,0.714,Burkina Faso
May,31.255,0.691,Burkina Faso
June,29.359,0.697,Burkina Faso
July,27.406,0.661,Burkina Faso
August,26.363,0.676,Burkina Faso
September,27.168,0.642,Burkina Faso
October,28.368,0.653,Burkina Faso
November,27.627,0.698,Burkina Faso
December,25.215,0.743,Burkina Faso
January,18.509,0.790,Burma
February,20.511,0.770,Burma
March,23.896,0.716,Burma
April,26.235,0.723,Burma
May,26.753,0.628,Burma
June,26.204,0.642,Burma
July,25.821,0.606,Burma
August,25.683,0.589,Burma
September,25.459,0.549,Burma
October,24.303,0.628,Burma
November,21.929,0.724,Burma
December,18.993,0.730,Burma
January,19.989,0.751,Burundi
February,20.099,0.697,Burundi
March,19.926,0.655,Burundi
April,19.758,0.617,Burundi
May,20.052,0.608,Burundi
June,19.837,0.643,Burundi
July,19.814,0.650,Burundi
August,20.556,0.672,Burundi
September,21.026,0.697,Burundi
October,20.496,0.628,Burundi
November,19.796,0.652,Burundi
December,19.522,0.713,Burundi
January,25.724,0.733,Côte D'Ivoire
February,27.279,0.672,Côte D'Ivoire
March,27.875,0.636,Côte D'Ivoire
April,27.376,0.635,Côte D'Ivoire
May,26.728,0.582,Côte D'Ivoire
June,25.640,0.597,Côte D'Ivoire
July,24.772,0.591,Côte D'Ivoire
August,24.383,0.601,Côte D'Ivoire
September,24.909,0.544,Côte D'Ivoire
October,25.489,0.582,Côte D'Ivoire
November,25.894,0.613,Côte D'Ivoire
December,25.352,0.697,Côte D'Ivoire
January,24.596,0.746,Cambodia
February,26.143,0.711,Cambodia
March,27.920,0.686,Cambodia
April,28.746,0.662,Cambodia
May,28.352,0.595,Cambodia
June,27.609,0.579,Cambodia
July,27.142,0.577,Cambodia
August,26.964,0.558,Cambodia
September,26.600,0.514,Cambodia
October,26.092,0.549,Cambodia
November,25.409,0.607,Cambodia
December,24.275,0.679,Cambodia
January,23.926,0.661,Cameroon
February,25.141,0.637,Cameroon
March,25.990,0.659,Cameroon
April,25.811,0.597,Cameroon
May,25.204,0.556,Cameroon
June,24.173,0.552,Cameroon
July,23.384,0.557,Cameroon
August,23.213,0.522,Cameroon
September,23.538,0.535,Cameroon
October,23.885,0.554,Cameroon
November,24.210,0.563,Cameroon
December,23.687,0.658,Cameroon
January,-23.478,1.431,Canada
February,-21.588,1.332,Canada
March,-16.015,1.276,Canada
April,-6.862,1.236,Canada
May,2.241,1.205,Canada
June,9.256,1.228,Canada
July,12.821,1.151,Canada
August,11.179,1.161,Canada
September,5.254,1.155,Canada
October,-2.782,1.210,Canada
November,-12.040,1.307,Canada
December,-19.993,1.378,Canada
January,22.071,0.800,Cape Verde
February,21.802,0.827,Cape Verde
March,22.193,0.790,Cape Verde
April,22.517,0.771,Cape Verde
May,23.346,0.792,Cape Verde
June,24.437,0.770,Cape Verde
July,25.487,0.685,Cape Verde
August,26.533,0.714,Cape Verde
September,26.989,0.686,Cape Verde
October,26.409,0.712,Cape Verde
November,25.175,0.743,Cape Verde
December,23.243,0.790,Cape Verde
January,24.525,0.915,Cayman Islands
February,24.697,0.892,Cayman Islands
March,25.382,0.778,Cayman Islands
April,26.248,0.765,Cayman Islands
May,27.351,0.676,Cayman Islands
June,28.187,0.724,Cayman Islands
July,28.695,0.721,Cayman Islands
August,28.722,0.675,Cayman Islands
September,28.333,0.689,Cayman Islands
October,27.257,0.701,Cayman Islands
November,26.212,0.778,Cayman Islands
December,25.052,0.958,Cayman Islands
January,24.722,0.790,Central African Republic
February,26.281,0.704,Central African Republic
March,27.325,0.714,Central African Republic
April,27.043,0.680,Central African Republic
May,26.201,0.653,Central African Republic
June,25.173,0.633,Central African Republic
July,24.387,0.611,Central African Republic
August,24.231,0.616,Central African Republic
September,24.477,0.595,Central African Republic
October,24.653,0.622,Central African Republic
November,24.672,0.636,Central African Republic
December,24.118,0.728,Central African Republic
January,21.622,1.049,Chad
February,23.702,0.942,Chad
March,27.072,0.953,Chad
April,29.858,0.920,Chad
May,30.989,0.956,Chad
June,30.696,0.899,Chad
July,29.199,0.875,Chad
August,28.366,0.865,Chad
September,28.570,0.874,Chad
October,27.911,0.880,Chad
November,25.242,0.944,Chad
December,22.222,1.030,Chad
January,13.766,0.623,Chile
February,13.484,0.595,Chile
March,12.056,0.551,Chile
April,9.481,0.563,Chile
May,7.130,0.561,Chile
June,5.183,0.613,Chile
July,4.905,0.564,Chile
August,5.907,0.549,Chile
September,7.540,0.543,Chile
October,9.249,0.530,Chile
November,11.248,0.566,Chile
December,12.742,0.614,Chile
January,-8.500,0.710,China
February,-5.320,0.716,China
March,1.050,0.655,China
April,7.981,0.619,China
May,13.487,0.584,China
June,17.659,0.616,China
July,19.843,0.595,China
August,18.705,0.592,China
September,14.067,0.569,China
October,7.338,0.608,China
November,-0.412,0.634,China
December,-6.717,0.709,China
January,25.970,0.684,Christmas Island
February,26.100,0.673,Christmas Island
March,26.359,0.631,Christmas Island
April,26.386,0.595,Christmas Island
May,26.369,0.548,Christmas Island
June,25.766,0.600,Christmas Island
July,25.139,0.617,Christmas Island
August,24.963,0.596,Christmas Island
September,25.189,0.576,Christmas Island
October,25.480,0.585,Christmas Island
November,25.857,0.666,Christmas Island
December,25.826,0.681,Christmas Island
January,24.805,0.643,Colombia
February,25.129,0.643,Colombia
March,25.137,0.619,Colombia
April,24.748,0.577,Colombia
May,24.636,0.573,Colombia
June,24.403,0.557,Colombia
July,24.493,0.564,Colombia
August,24.736,0.540,Colombia
September,24.831,0.533,Colombia
October,24.555,0.523,Colombia
November,24.605,0.568,Colombia
December,24.513,0.638,Colombia
January,26.907,0.678,Comoros
February,27.013,0.598,Comoros
March,27.169,0.525,Comoros
April,26.685,0.542,Comoros
May,25.919,0.546,Comoros
June,24.763,0.537,Comoros
July,24.009,0.548,Comoros
August,23.796,0.542,Comoros
September,24.156,0.552,Comoros
October,25.035,0.572,Comoros
November,26.319,0.571,Comoros
December,26.763,0.621,Comoros
January,23.792,0.588,Congo (Democratic Republic Of The)
February,24.188,0.557,Congo (Democratic Republic Of The)
March,24.358,0.520,Congo (Democratic Republic Of The)
April,24.216,0.503,Congo (Democratic Republic Of The)
May,24.045,0.514,Congo (Democratic Republic Of The)
June,23.251,0.519,Congo (Democratic Republic Of The)
July,22.938,0.486,Congo (Democratic Republic Of The)
August,23.440,0.500,Congo (Democratic Republic Of The)
September,23.945,0.502,Congo (Democratic Republic Of The)
October,23.853,0.489,Congo (Democratic Republic Of The)
November,23.739,0.503,Congo (Democratic Republic Of The)
December,23.498,0.543,Congo (Democratic Republic Of The)
January,24.576,0.580,Congo
February,25.161,0.564,Congo
March,25.437,0.553,Congo
April,25.335,0.515,Congo
May,25.073,0.522,Congo
June,23.909,0.523,Congo
July,23.227,0.488,Congo
August,23.529,0.505,Congo
September,24.135,0.491,Congo
October,24.302,0.492,Congo
November,24.514,0.514,Congo
December,24.306,0.537,Congo
January,25.084,0.749,Costa Rica
February,25.613,0.762,Costa Rica
March,26.335,0.732,Costa Rica
April,26.592,0.734,Costa Rica
May,26.413,0.644,Costa Rica
June,25.838,0.665,Costa Rica
July,25.737,0.653,Costa Rica
August,25.683,0.641,Costa Rica
September,25.410,0.627,Costa Rica
October,24.923,0.624,Costa Rica
November,24.898,0.651,Costa Rica
December,24.851,0.745,Costa Rica
January,0.511,2.030,Croatia
February,2.393,1.880,Croatia
March,6.299,1.547,Croatia
April,10.951,1.525,Croatia
May,15.984,1.385,Croatia
June,19.635,1.376,Croatia
July,21.744,1.406,Croatia
August,21.073,1.378,Croatia
September,17.095,1.323,Croatia
October,11.828,1.425,Croatia
November,6.517,1.590,Croatia
December,2.168,1.777,Croatia
January,22.889,0.893,Cuba
February,23.121,0.867,Cuba
March,23.922,0.728,Cuba
April,24.827,0.744,Cuba
May,26.003,0.662,Cuba
June,27.028,0.710,Cuba
July,27.627,0.695,Cuba
August,27.643,0.657,Cuba
September,27.232,0.655,Cuba
October,26.144,0.696,Cuba
November,24.927,0.780,Cuba
December,23.517,0.946,Cuba
January,25.776,0.718,Curaçao
February,25.729,0.698,Curaçao
March,26.105,0.643,Curaçao
April,26.828,0.660,Curaçao
May,27.937,0.662,Curaçao
June,28.316,0.619,Curaçao
July,28.456,0.621,Curaçao
August,28.654,0.593,Curaçao
September,28.668,0.585,Curaçao
October,28.057,0.571,Curaçao
November,27.398,0.623,Curaçao
December,26.343,0.747,Curaçao
January,11.180,1.114,Cyprus
February,11.443,1.087,Cyprus
March,13.315,1.003,Cyprus
April,16.275,0.984,Cyprus
May,20.264,0.936,Cyprus
June,23.926,0.954,Cyprus
July,26.348,0.988,Cyprus
August,26.737,0.953,Cyprus
September,24.549,0.905,Cyprus
October,21.209,0.983,Cyprus
November,17.044,1.033,Cyprus
December,13.051,1.127,Cyprus
January,-3.070,2.055,Czech Republic
February,-1.380,1.892,Czech Republic
March,2.344,1.584,Czech Republic
April,7.467,1.542,Czech Republic
May,12.765,1.394,Czech Republic
June,16.049,1.399,Czech Republic
July,17.777,1.430,Czech Republic
August,17.187,1.397,Czech Republic
September,13.314,1.340,Czech Republic
October,7.870,1.454,Czech Republic
November,2.591,1.611,Czech Republic
December,-1.314,1.784,Czech Republic
January,-0.239,2.107,Denmark (Europe)
February,0.132,1.913,Denmark (Europe)
March,1.992,1.648,Denmark (Europe)
April,5.944,1.604,Denmark (Europe)
May,10.908,1.458,Denmark (Europe)
June,14.720,1.498,Denmark (Europe)
July,16.693,1.519,Denmark (Europe)
August,16.346,1.484,Denmark (Europe)
September,13.272,1.371,Denmark (Europe)
October,8.663,1.525,Denmark (Europe)
November,4.339,1.675,Denmark (Europe)
December,1.319,1.834,Denmark (Europe)
January,-29.981,2.180,Denmark
February,-30.035,2.123,Denmark
March,-28.290,1.964,Denmark
April,-21.873,1.852,Denmark
May,-11.617,1.593,Denmark
June,-4.184,1.545,Denmark
July,-1.317,1.533,Denmark
August,-3.894,1.524,Denmark
September,-11.032,1.522,Denmark
October,-19.700,1.617,Denmark
November,-25.767,1.755,Denmark
December,-29.016,2.081,Denmark
January,24.476,0.860,Djibouti
February,25.519,0.896,Djibouti
March,27.243,0.870,Djibouti
April,28.606,0.830,Djibouti
May,30.337,0.759,Djibouti
