Month,Avg. Surface Temperature,Avg. Uncertainty,Country
June,32.363,0.849,Djibouti
July,33.332,0.983,Djibouti
August,32.919,1.012,Djibouti
September,31.417,0.959,Djibouti
October,28.346,0.879,Djibouti
November,26.313,0.870,Djibouti
December,24.827,0.858,Djibouti
January,24.596,0.719,Dominica
February,24.565,0.662,Dominica
March,24.988,0.602,Dominica
April,25.621,0.617,Dominica
May,26.700,0.603,Dominica
June,27.155,0.544,Dominica
July,27.231,0.541,Dominica
August,27.265,0.529,Dominica
September,27.098,0.539,Dominica
October,26.704,0.508,Dominica
November,26.229,0.569,Dominica
December,25.194,0.678,Dominica
January,23.690,0.801,Dominican Republic
February,23.813,0.750,Dominican Republic
March,24.354,0.693,Dominican Republic
April,24.943,0.706,Dominican Republic
May,25.824,0.658,Dominican Republic
June,26.673,0.653,Dominican Republic
July,27.216,0.665,Dominican Republic
August,27.252,0.629,Dominican Republic
September,26.883,0.612,Dominican Republic
October,26.212,0.628,Dominican Republic
November,25.463,0.715,Dominican Republic
December,24.268,0.849,Dominican Republic
January,22.182,0.550,Ecuador
February,22.353,0.551,Ecuador
March,22.440,0.573,Ecuador
April,22.292,0.512,Ecuador
May,22.146,0.513,Ecuador
June,21.533,0.564,Ecuador
July,21.124,0.562,Ecuador
August,21.216,0.520,Ecuador
September,21.593,0.522,Ecuador
October,21.614,0.504,Ecuador
November,21.900,0.552,Ecuador
December,22.024,0.494,Ecuador
January,13.286,1.026,Egypt
February,14.919,0.989,Egypt
March,18.455,0.963,Egypt
April,22.720,0.954,Egypt
May,26.854,0.922,Egypt
June,29.380,0.922,Egypt
July,30.208,0.932,Egypt
August,29.955,0.921,Egypt
September,27.824,0.907,Egypt
October,24.317,0.943,Egypt
November,19.195,0.965,Egypt
December,14.625,1.019,Egypt
January,23.755,0.836,El Salvador
February,24.508,0.820,El Salvador
March,25.696,0.799,El Salvador
April,26.298,0.819,El Salvador
May,26.099,0.701,El Salvador
June,25.352,0.698,El Salvador
July,25.303,0.707,El Salvador
August,25.314,0.702,El Salvador
September,24.764,0.691,El Salvador
October,24.160,0.700,El Salvador
November,23.980,0.754,El Salvador
December,23.666,0.831,El Salvador
January,25.569,0.618,Equatorial Guinea
February,25.964,0.604,Equatorial Guinea
March,25.952,0.614,Equatorial Guinea
April,25.737,0.553,Equatorial Guinea
May,25.506,0.539,Equatorial Guinea
June,24.200,0.549,Equatorial Guinea
July,23.253,0.544,Equatorial Guinea
August,23.500,0.536,Equatorial Guinea
September,24.328,0.544,Equatorial Guinea
October,24.588,0.523,Equatorial Guinea
November,25.130,0.543,Equatorial Guinea
December,25.273,0.589,Equatorial Guinea
January,23.079,0.790,Eritrea
February,23.982,0.767,Eritrea
March,25.791,0.791,Eritrea
April,27.592,0.795,Eritrea
May,29.131,0.668,Eritrea
June,29.744,0.741,Eritrea
July,29.152,0.919,Eritrea
August,28.755,0.944,Eritrea
September,28.366,0.860,Eritrea
October,27.034,0.754,Eritrea
November,25.380,0.738,Eritrea
December,23.555,0.799,Eritrea
January,-6.662,1.973,Estonia
February,-6.452,1.806,Estonia
March,-2.973,1.600,Estonia
April,3.470,1.541,Estonia
May,10.089,1.419,Estonia
June,14.997,1.451,Estonia
July,17.445,1.482,Estonia
August,16.077,1.456,Estonia
September,11.267,1.377,Estonia
October,5.206,1.490,Estonia
November,-0.095,1.588,Estonia
December,-4.414,1.795,Estonia
January,21.939,0.691,Ethiopia
February,23.079,0.695,Ethiopia
March,24.131,0.681,Ethiopia
April,24.287,0.645,Ethiopia
May,24.332,0.616,Ethiopia
June,23.745,0.649,Ethiopia
July,22.817,0.697,Ethiopia
August,22.750,0.709,Ethiopia
September,23.126,0.704,Ethiopia
October,22.541,0.680,Ethiopia
November,21.918,0.661,Ethiopia
December,21.464,0.688,Ethiopia
January,-2.181,1.798,Europe
February,-0.998,1.658,Europe
March,2.199,1.440,Europe
April,6.878,1.403,Europe
May,12.023,1.271,Europe
June,16.009,1.282,Europe
July,18.230,1.306,Europe
August,17.491,1.290,Europe
September,13.558,1.223,Europe
October,8.206,1.327,Europe
November,3.246,1.451,Europe
December,-0.607,1.590,Europe
January,9.280,0.904,Falkland Islands (Islas Malvinas)
February,9.434,0.921,Falkland Islands (Islas Malvinas)
March,8.524,0.858,Falkland Islands (Islas Malvinas)
April,6.640,0.804,Falkland Islands (Islas Malvinas)
May,5.025,0.840,Falkland Islands (Islas Malvinas)
June,3.646,0.962,Falkland Islands (Islas Malvinas)
July,3.157,0.909,Falkland Islands (Islas Malvinas)
August,3.203,0.912,Falkland Islands (Islas Malvinas)
September,3.922,0.867,Falkland Islands (Islas Malvinas)
October,5.160,0.791,Falkland Islands (Islas Malvinas)
November,6.822,0.857,Falkland Islands (Islas Malvinas)
December,8.087,0.911,Falkland Islands (Islas Malvinas)
January,3.848,2.024,Faroe Islands
February,3.767,1.912,Faroe Islands
March,3.837,1.650,Faroe Islands
April,4.955,1.599,Faroe Islands
May,6.841,1.505,Faroe Islands
June,8.820,1.507,Faroe Islands
July,10.341,1.517,Faroe Islands
August,10.686,1.458,Faroe Islands
September,9.537,1.368,Faroe Islands
October,7.169,1.510,Faroe Islands
November,5.377,1.667,Faroe Islands
December,4.299,1.818,Faroe Islands
January,26.892,0.524,Federated States Of Micronesia
February,26.959,0.524,Federated States Of Micronesia
March,27.063,0.528,Federated States Of Micronesia
April,26.977,0.521,Federated States Of Micronesia
May,27.164,0.512,Federated States Of Micronesia
June,27.072,0.520,Federated States Of Micronesia
July,26.905,0.531,Federated States Of Micronesia
August,26.899,0.530,Federated States Of Micronesia
September,26.874,0.507,Federated States Of Micronesia
October,26.734,0.527,Federated States Of Micronesia
November,26.929,0.530,Federated States Of Micronesia
December,26.864,0.526,Federated States Of Micronesia
January,26.401,0.542,Fiji
February,26.679,0.553,Fiji
March,26.588,0.540,Fiji
April,25.828,0.538,Fiji
May,24.959,0.537,Fiji
June,24.142,0.544,Fiji
July,23.468,0.540,Fiji
August,23.379,0.510,Fiji
September,23.724,0.587,Fiji
October,24.250,0.589,Fiji
November,25.191,0.578,Fiji
December,25.886,0.557,Fiji
January,-11.137,1.992,Finland
February,-10.706,1.895,Finland
March,-6.822,1.697,Finland
April,-0.474,1.609,Finland
May,6.298,1.490,Finland
June,12.479,1.524,Finland
July,15.477,1.533,Finland
August,13.377,1.522,Finland
September,7.961,1.434,Finland
October,1.521,1.544,Finland
November,-4.097,1.659,Finland
December,-8.816,1.837,Finland
January,2.437,1.970,France (Europe)
February,3.855,1.808,France (Europe)
March,6.348,1.542,France (Europe)
April,9.314,1.512,France (Europe)
May,13.290,1.382,France (Europe)
June,16.662,1.370,France (Europe)
July,18.752,1.393,France (Europe)
August,18.376,1.400,France (Europe)
September,15.394,1.318,France (Europe)
October,10.827,1.418,France (Europe)
November,6.431,1.588,France (Europe)
December,3.381,1.707,France (Europe)
January,6.205,1.968,France
February,7.401,1.825,France
March,9.446,1.579,France
April,11.889,1.554,France
May,15.126,1.443,France
June,17.857,1.433,France
July,19.571,1.457,France
August,19.292,1.455,France
September,16.869,1.394,France
October,13.127,1.484,France
November,9.562,1.621,France
December,6.983,1.728,France
January,24.961,0.692,French Guiana
February,25.009,0.649,French Guiana
March,25.319,0.612,French Guiana
April,25.452,0.619,French Guiana
May,25.602,0.575,French Guiana
June,25.538,0.548,French Guiana
July,25.725,0.531,French Guiana
August,26.169,0.511,French Guiana
September,26.512,0.510,French Guiana
October,26.532,0.516,French Guiana
November,26.368,0.576,French Guiana
December,25.462,0.659,French Guiana
January,26.720,0.653,French Polynesia
February,26.986,0.653,French Polynesia
March,27.176,0.611,French Polynesia
April,26.843,0.609,French Polynesia
May,26.314,0.594,French Polynesia
June,25.608,0.611,French Polynesia
July,25.226,0.631,French Polynesia
August,25.064,0.613,French Polynesia
September,25.238,0.623,French Polynesia
October,25.564,0.625,French Polynesia
November,26.183,0.672,French Polynesia
December,26.428,0.707,French Polynesia
January,8.751,1.135,French Southern And Antarctic Lands
February,8.206,0.957,French Southern And Antarctic Lands
March,7.013,0.883,French Southern And Antarctic Lands
April,5.747,1.118,French Southern And Antarctic Lands
May,4.169,1.300,French Southern And Antarctic Lands
June,2.815,1.171,French Southern And Antarctic Lands
July,2.413,1.122,French Southern And Antarctic Lands
August,2.406,1.282,French Southern And Antarctic Lands
September,2.463,1.125,French Southern And Antarctic Lands
October,3.184,0.982,French Southern And Antarctic Lands
November,5.246,0.978,French Southern And Antarctic Lands
December,7.615,1.121,French Southern And Antarctic Lands
January,24.711,0.589,Gabon
February,25.156,0.580,Gabon
March,25.308,0.578,Gabon
April,25.225,0.523,Gabon
May,24.921,0.536,Gabon
June,23.381,0.539,Gabon
July,22.381,0.511,Gabon
August,22.804,0.522,Gabon
September,23.889,0.516,Gabon
October,24.280,0.501,Gabon
November,24.530,0.521,Gabon
December,24.411,0.549,Gabon
January,24.464,0.827,Gambia
February,26.337,0.813,Gambia
March,28.306,0.727,Gambia
April,29.310,0.760,Gambia
May,29.891,0.760,Gambia
June,29.515,0.742,Gambia
July,28.076,0.656,Gambia
August,27.139,0.658,Gambia
September,27.533,0.586,Gambia
October,28.077,0.645,Gambia
November,27.065,0.705,Gambia
December,24.753,0.822,Gambia
January,10.317,0.999,Gaza Strip
February,11.426,0.973,Gaza Strip
March,14.192,0.945,Gaza Strip
April,17.650,0.902,Gaza Strip
May,21.792,0.881,Gaza Strip
June,25.016,0.893,Gaza Strip
July,26.859,0.900,Gaza Strip
August,27.064,0.900,Gaza Strip
September,25.078,0.823,Gaza Strip
October,21.873,0.920,Gaza Strip
November,16.931,0.944,Gaza Strip
December,12.183,1.034,Gaza Strip
January,-2.815,1.432,Georgia
February,-1.722,1.353,Georgia
March,2.010,1.173,Georgia
April,7.034,1.080,Georgia
May,12.088,1.024,Georgia
June,15.840,1.054,Georgia
July,18.605,1.045,Georgia
August,18.589,1.031,Georgia
September,14.611,0.980,Georgia
October,9.398,1.062,Georgia
November,4.208,1.186,Georgia
December,-0.622,1.372,Georgia
January,-1.299,2.030,Germany
February,0.157,1.870,Germany
March,3.244,1.587,Germany
April,7.566,1.541,Germany
May,12.443,1.397,Germany
June,15.719,1.403,Germany
July,17.475,1.434,Germany
August,17.002,1.413,Germany
September,13.551,1.331,Germany
October,8.413,1.461,Germany
November,3.501,1.620,Germany
December,0.138,1.764,Germany
January,26.633,0.647,Ghana
February,28.278,0.602,Ghana
March,29.029,0.607,Ghana
April,28.387,0.592,Ghana
May,27.458,0.540,Ghana
June,26.111,0.534,Ghana
July,25.167,0.523,Ghana
August,24.717,0.545,Ghana
September,25.246,0.483,Ghana
October,26.116,0.505,Ghana
November,26.877,0.548,Ghana
December,26.443,0.602,Ghana
January,5.477,1.775,Greece
February,6.574,1.659,Greece
March,9.155,1.443,Greece
April,12.926,1.466,Greece
May,17.737,1.340,Greece
June,22.002,1.333,Greece
July,24.559,1.360,Greece
August,24.260,1.327,Greece
September,20.618,1.306,Greece
October,15.821,1.399,Greece
November,11.149,1.491,Greece
December,7.099,1.640,Greece
January,-30.594,2.234,Greenland
February,-30.663,2.175,Greenland
March,-28.913,2.017,Greenland
April,-22.450,1.903,Greenland
May,-12.075,1.640,Greenland
June,-4.576,1.590,Greenland
July,-1.690,1.579,Greenland
August,-4.310,1.570,Greenland
September,-11.532,1.569,Greenland
October,-20.289,1.664,Greenland
November,-26.391,1.803,Greenland
December,-29.639,2.130,Greenland
January,25.671,0.690,Grenada
February,25.718,0.648,Grenada
March,26.143,0.571,Grenada
April,26.676,0.571,Grenada
May,27.376,0.566,Grenada
June,27.207,0.492,Grenada
July,27.183,0.509,Grenada
August,27.391,0.502,Grenada
September,27.496,0.523,Grenada
October,27.152,0.494,Grenada
November,26.834,0.559,Grenada
December,26.068,0.654,Grenada
January,24.717,0.697,Guadeloupe
February,24.703,0.643,Guadeloupe
March,25.132,0.584,Guadeloupe
April,25.756,0.605,Guadeloupe
May,26.816,0.591,Guadeloupe
June,27.427,0.543,Guadeloupe
July,27.632,0.549,Guadeloupe
August,27.709,0.525,Guadeloupe
September,27.452,0.529,Guadeloupe
October,26.949,0.506,Guadeloupe
November,26.378,0.569,Guadeloupe
December,25.310,0.672,Guadeloupe
January,26.137,0.544,Guam
February,26.125,0.561,Guam
March,26.506,0.530,Guam
April,27.025,0.546,Guam
May,27.567,0.539,Guam
June,27.774,0.560,Guam
July,27.483,0.565,Guam
August,27.227,0.534,Guam
September,27.165,0.543,Guam
October,27.068,0.512,Guam
November,27.222,0.541,Guam
December,26.665,0.531,Guam
January,20.708,0.862,Guatemala
February,21.577,0.846,Guatemala
March,23.087,0.819,Guatemala
April,24.445,0.828,Guatemala
May,25.133,0.729,Guatemala
June,24.598,0.733,Guatemala
July,24.167,0.716,Guatemala
August,24.189,0.699,Guatemala
September,23.896,0.684,Guatemala
October,22.910,0.698,Guatemala
November,21.824,0.764,Guatemala
December,20.802,0.875,Guatemala
January,6.261,1.938,Guernsey
February,6.311,1.798,Guernsey
March,7.175,1.539,Guernsey
April,8.754,1.523,Guernsey
May,11.383,1.406,Guernsey
June,13.950,1.417,Guernsey
July,16.004,1.418,Guernsey
August,16.492,1.427,Guernsey
September,15.140,1.335,Guernsey
October,12.410,1.427,Guernsey
November,9.714,1.598,Guernsey
December,7.622,1.720,Guernsey
January,24.757,0.850,Guinea Bissau
February,26.453,0.798,Guinea Bissau
March,28.052,0.724,Guinea Bissau
April,28.692,0.741,Guinea Bissau
May,28.807,0.738,Guinea Bissau
June,27.917,0.703,Guinea Bissau
July,26.472,0.666,Guinea Bissau
August,25.776,0.653,Guinea Bissau
September,26.278,0.574,Guinea Bissau
October,26.811,0.629,Guinea Bissau
November,26.401,0.693,Guinea Bissau
December,24.742,0.821,Guinea Bissau
January,23.936,0.795,Guinea
February,26.078,0.743,Guinea
March,27.852,0.686,Guinea
April,28.150,0.679,Guinea
May,27.386,0.642,Guinea
June,25.728,0.651,Guinea
July,24.441,0.636,Guinea
August,24.004,0.619,Guinea
September,24.515,0.554,Guinea
October,24.950,0.600,Guinea
November,24.798,0.660,Guinea
December,23.626,0.760,Guinea
January,25.306,0.704,Guyana
February,25.609,0.650,Guyana
March,26.040,0.601,Guyana
April,26.009,0.619,Guyana
May,25.852,0.586,Guyana
June,25.377,0.534,Guyana
July,25.407,0.541,Guyana
August,25.982,0.532,Guyana
September,26.634,0.535,Guyana
October,26.739,0.543,Guyana
November,26.582,0.601,Guyana
December,25.648,0.699,Guyana
January,24.575,0.851,Haiti
February,24.718,0.804,Haiti
March,25.140,0.731,Haiti
April,25.531,0.746,Haiti
May,26.396,0.688,Haiti
June,27.501,0.688,Haiti
July,28.176,0.696,Haiti
August,28.014,0.658,Haiti
September,27.452,0.643,Haiti
October,26.769,0.675,Haiti
November,26.194,0.779,Haiti
December,25.112,0.905,Haiti
January,5.353,1.060,Heard Island And Mcdonald Islands
February,4.951,0.912,Heard Island And Mcdonald Islands
March,4.190,0.902,Heard Island And Mcdonald Islands
April,3.425,1.145,Heard Island And Mcdonald Islands
May,2.403,1.339,Heard Island And Mcdonald Islands
June,1.281,1.195,Heard Island And Mcdonald Islands
July,0.684,1.216,Heard Island And Mcdonald Islands
August,0.528,1.327,Heard Island And Mcdonald Islands
September,0.347,1.138,Heard Island And Mcdonald Islands
October,0.800,1.027,Heard Island And Mcdonald Islands
November,2.518,0.942,Heard Island And Mcdonald Islands
December,4.414,1.064,Heard Island And Mcdonald Islands
January,22.763,0.860,Honduras
February,23.778,0.842,Honduras
March,25.297,0.806,Honduras
April,26.441,0.811,Honduras
May,26.617,0.699,Honduras
June,25.690,0.716,Honduras
July,25.230,0.705,Honduras
August,25.370,0.704,Honduras
September,25.215,0.693,Honduras
October,24.180,0.700,Honduras
November,23.221,0.752,Honduras
December,22.538,0.869,Honduras
January,15.563,0.894,Hong Kong
February,15.868,0.968,Hong Kong
March,18.342,0.853,Hong Kong
April,21.958,0.819,Hong Kong
May,25.645,0.732,Hong Kong
June,27.535,0.706,Hong Kong
July,28.366,0.692,Hong Kong
August,28.195,0.669,Hong Kong
September,27.343,0.640,Hong Kong
October,24.737,0.715,Hong Kong
November,21.082,0.754,Hong Kong
December,17.285,0.825,Hong Kong
January,-2.392,2.043,Hungary
February,-0.223,1.875,Hungary
March,4.458,1.560,Hungary
April,10.200,1.539,Hungary
May,15.580,1.426,Hungary
June,18.918,1.396,Hungary
July,20.708,1.433,Hungary
August,19.991,1.399,Hungary
September,15.743,1.360,Hungary
October,10.010,1.457,Hungary
November,4.230,1.586,Hungary
December,-0.466,1.796,Hungary
January,-3.598,2.099,Iceland
February,-3.352,1.999,Iceland
March,-2.841,1.837,Iceland
April,-0.601,1.743,Iceland
May,3.167,1.637,Iceland
June,6.762,1.595,Iceland
July,8.599,1.611,Iceland
August,7.854,1.567,Iceland
September,4.949,1.509,Iceland
October,0.945,1.614,Iceland
November,-1.698,1.761,Iceland
December,-3.262,1.901,Iceland
January,16.839,0.882,India
February,19.273,0.835,India
March,23.670,0.792,India
April,27.489,0.742,India
May,29.774,0.702,India
June,28.989,0.728,India
July,26.905,0.700,India
August,26.117,0.677,India
September,25.794,0.656,India
October,24.012,0.719,India
November,20.491,0.812,India
December,17.224,0.854,India
January,25.526,0.506,Indonesia
February,25.644,0.468,Indonesia
March,25.820,0.445,Indonesia
April,25.866,0.455,Indonesia
May,26.044,0.410,Indonesia
June,25.736,0.424,Indonesia
July,25.431,0.447,Indonesia
August,25.471,0.443,Indonesia
September,25.651,0.415,Indonesia
October,25.732,0.425,Indonesia
November,25.774,0.450,Indonesia
December,25.523,0.482,Indonesia
January,4.955,0.922,Iran
February,7.320,0.860,Iran
March,11.930,0.846,Iran
April,17.223,0.851,Iran
May,22.900,0.829,Iran
June,27.304,0.843,Iran
July,29.465,0.864,Iran
August,28.257,0.852,Iran
September,24.201,0.794,Iran
October,18.501,0.789,Iran
November,12.222,0.841,Iran
December,6.888,0.876,Iran
January,8.515,1.081,Iraq
February,10.798,1.048,Iraq
March,15.241,1.041,Iraq
April,20.807,1.013,Iraq
May,27.154,0.948,Iraq
June,31.695,1.008,Iraq
July,34.047,1.044,Iraq
August,33.635,1.017,Iraq
September,29.798,0.945,Iraq
October,23.560,0.993,Iraq
November,16.042,1.015,Iraq
December,10.167,1.100,Iraq
January,4.807,1.862,Ireland
February,5.372,1.738,Ireland
March,6.320,1.513,Ireland
April,8.070,1.500,Ireland
May,10.776,1.388,Ireland
June,13.437,1.417,Ireland
July,14.914,1.396,Ireland
August,14.653,1.402,Ireland
September,12.742,1.322,Ireland
October,9.674,1.426,Ireland
November,6.961,1.563,Ireland
December,5.363,1.703,Ireland
January,5.415,1.977,Isle Of Man
February,5.083,1.823,Isle Of Man
March,5.527,1.564,Isle Of Man
April,7.062,1.552,Isle Of Man
May,9.602,1.426,Isle Of Man
June,12.198,1.475,Isle Of Man
July,14.093,1.453,Isle Of Man
August,14.466,1.445,Isle Of Man
September,13.154,1.338,Isle Of Man
October,10.677,1.454,Isle Of Man
November,8.422,1.635,Isle Of Man
December,6.763,1.778,Isle Of Man
January,11.010,0.967,Israel
February,12.119,0.943,Israel
March,14.834,0.913,Israel
April,18.204,0.886,Israel
May,22.191,0.858,Israel
June,25.241,0.874,Israel
July,26.990,0.884,Israel
August,27.212,0.879,Israel
September,25.280,0.808,Israel
October,22.181,0.899,Israel
November,17.422,0.918,Israel
December,12.798,1.006,Israel
January,4.006,1.905,Italy
February,5.155,1.753,Italy
March,7.709,1.475,Italy
April,10.905,1.462,Italy
May,15.393,1.325,Italy
June,19.393,1.325,Italy
July,22.024,1.362,Italy
August,21.797,1.318,Italy
September,18.457,1.251,Italy
October,13.719,1.365,Italy
November,9.026,1.513,Italy
December,5.354,1.657,Italy
January,24.535,0.955,Jamaica
February,24.625,0.888,Jamaica
March,25.091,0.787,Jamaica
April,25.666,0.826,Jamaica
May,26.506,0.733,Jamaica
June,27.171,0.728,Jamaica
July,27.573,0.711,Jamaica
August,27.473,0.683,Jamaica
September,27.160,0.698,Jamaica
October,26.472,0.735,Jamaica
November,25.916,0.824,Jamaica
December,24.994,0.981,Jamaica
January,0.632,0.712,Japan
February,1.094,0.661,Japan
March,4.436,0.604,Japan
April,9.902,0.592,Japan
May,14.593,0.559,Japan
June,18.657,0.590,Japan
July,22.857,0.588,Japan
August,24.243,0.594,Japan
September,20.484,0.532,Japan
October,14.436,0.533,Japan
November,8.718,0.573,Japan
December,3.366,0.674,Japan
January,6.261,1.938,Jersey
February,6.311,1.798,Jersey
March,7.175,1.539,Jersey
April,8.754,1.523,Jersey
May,11.383,1.406,Jersey
June,13.950,1.417,Jersey
July,16.004,1.418,Jersey
August,16.492,1.427,Jersey
September,15.140,1.335,Jersey
October,12.410,1.427,Jersey
November,9.714,1.598,Jersey
December,7.622,1.720,Jersey
January,8.844,1.011,Jordan
February,10.618,0.999,Jordan
March,14.217,0.978,Jordan
April,18.563,0.946,Jordan
May,23.262,0.909,Jordan
June,26.575,0.936,Jordan
July,28.326,0.949,Jordan
August,28.336,0.950,Jordan
September,25.794,0.872,Jordan
October,21.544,0.956,Jordan
November,15.610,0.971,Jordan
December,10.464,1.057,Jordan
January,-13.656,1.372,Kazakhstan
February,-12.246,1.321,Kazakhstan
March,-4.731,1.303,Kazakhstan
April,6.793,1.254,Kazakhstan
May,15.447,1.154,Kazakhstan
June,20.762,1.179,Kazakhstan
July,23.076,1.177,Kazakhstan
August,20.970,1.157,Kazakhstan
September,14.259,1.147,Kazakhstan
October,5.358,1.154,Kazakhstan
November,-3.329,1.284,Kazakhstan
December,-10.459,1.378,Kazakhstan
January,24.555,0.588,Kenya
February,25.329,0.593,Kenya
March,25.697,0.544,Kenya
April,24.869,0.554,Kenya
May,24.187,0.504,Kenya
June,23.250,0.499,Kenya
July,22.564,0.467,Kenya
August,22.830,0.489,Kenya
September,23.736,0.500,Kenya
October,24.134,0.531,Kenya
November,24.077,0.518,Kenya
December,24.014,0.564,Kenya
January,26.600,0.720,Kingman Reef
February,26.679,0.760,Kingman Reef
March,26.936,0.710,Kingman Reef
April,27.057,0.674,Kingman Reef
May,27.235,0.657,Kingman Reef
June,27.269,0.665,Kingman Reef
July,27.492,0.654,Kingman Reef
August,27.635,0.634,Kingman Reef
September,27.476,0.653,Kingman Reef
October,27.227,0.685,Kingman Reef
November,27.184,0.687,Kingman Reef
December,26.808,0.722,Kingman Reef
January,25.978,0.784,Kiribati
February,26.186,0.777,Kiribati
March,26.473,0.757,Kiribati
April,26.628,0.702,Kiribati
May,27.060,0.689,Kiribati
June,27.221,0.688,Kiribati
July,27.255,0.685,Kiribati
August,27.187,0.677,Kiribati
September,27.086,0.701,Kiribati
October,26.918,0.753,Kiribati
November,26.710,0.735,Kiribati
December,26.143,0.789,Kiribati
January,12.598,1.020,Kuwait
February,14.728,0.986,Kuwait
March,19.082,0.962,Kuwait
April,24.437,0.977,Kuwait
May,30.531,0.975,Kuwait
June,34.440,1.027,Kuwait
July,36.114,1.020,Kuwait
August,35.588,1.027,Kuwait
September,32.387,0.974,Kuwait
October,26.996,0.966,Kuwait
November,20.118,0.970,Kuwait
December,14.268,1.003,Kuwait
January,-12.541,1.432,Kyrgyzstan
February,-9.727,1.401,Kyrgyzstan
March,-2.604,1.350,Kyrgyzstan
April,5.134,1.125,Kyrgyzstan
May,10.372,1.013,Kyrgyzstan
June,14.404,1.053,Kyrgyzstan
July,16.794,1.059,Kyrgyzstan
August,15.737,1.068,Kyrgyzstan
September,10.868,1.037,Kyrgyzstan
October,3.838,1.045,Kyrgyzstan
November,-3.660,1.169,Kyrgyzstan
December,-10.031,1.409,Kyrgyzstan
January,18.652,0.880,Laos
February,20.127,0.892,Laos
March,22.719,0.848,Laos
April,25.200,0.830,Laos
May,26.705,0.698,Laos
June,27.030,0.726,Laos
